Code,Days,Start_Time,End_Time,Location
17888,TuTh,1230,1350,BS3 2120
17360,TuTh,1100,1220,DBH 1200
17385,MW,1530,1650,DBH 1200
16818,W,1900,1950,DBH 1300
16809,Th,2000,2050,DBH 1300
16819,W,2000,2050,DBH 1300
17375,MW,1230,1350,DBH 1422
17390,TuTh,1400,1520,DBH 1422
17400,W,1700,1950,DBH 1422
17405,M,1700,1950,DBH 1422
17781,TuTh,1700,1820,DBH 1422
17897,MW,1600,1720,DBH 1425
17395,MW,930,1050,DBH 1431
17365,TuTh,1530,1650,DBH 1600
16794,Th,1100,1350,ECT 123
16870,TuTh,1400,1520,EH 1200
16805,TuTh,1530,1650,EH 1200
16815,TuTh,1700,1820,EH 1200
16900,M,1700,1750,EH 1200
16901,W,1700,1750,EH 1200
16780,MWF,900,950,ELH 100
16423,M,800,850,ELH 110
16451,W,800,850,ELH 110
16421,M,900,950,ELH 110
16653,W,900,950,ELH 110
16422,M,1000,1050,ELH 110
17061,W,1000,1050,ELH 110
17380,MW,1100,1220,ELH 110
17370,TuTh,1230,1350,ELH 110
16452,W,1300,1350,ELH 110
16471,M,1300,1350,ELH 110
17371,F,1300,1350,ELH 110
16453,Th,1400,1450,ELH 110
16782,Tu,1400,1450,ELH 110
16476,M,1500,1650,ELH 110
17062,F,1500,1550,ELH 110
17063,F,1600,1650,ELH 110
17088,M,1700,1750,ELH 110
16427,Tu,1800,1950,ELH 110
17086,M,1800,1850,ELH 110
16436,M,1900,1950,ELH 110
16437,M,2000,2050,ELH 110
16441,Tu,2000,2150,ELH 110
16442,W,2000,2150,ELH 110
16443,Th,2000,2150,ELH 110
16438,M,2100,2150,ELH 110
16663,W,800,1050,ET 202
16661,Tu,1100,1350,ET 202
16660,M,1400,1650,ET 202
16662,Tu,1900,2150,ET 202
16664,Th,1900,2150,ET 202
17097,Tu,930,1220,ET 203
17095,M,1000,1250,ET 203
17096,M,1900,2150,ET 203
17098,Tu,1900,2150,ET 203
17099,W,1900,2150,ET 203
17100,Th,1900,2150,ET 203
16450,TuTh,1100,1220,HH 178
17445,F,900,1020,MDE AUD
16405,TuTh,930,1050,MDE AUD
16885,TuTh,1100,1220,MDE AUD
16400,Tu,1400,1450,MDE AUD
17345,TuTh,930,1050,MSTB 118
16781,Tu,800,850,MSTB 120
16886,W,800,850,MSTB 120
17346,F,800,850,MSTB 120
16841,F,1000,1050,MSTB 120
16887,W,1200,1250,MSTB 120
17146,M,1200,1250,MSTB 120
16783,W,1400,1450,MSTB 120
17780,TuTh,1400,1520,MSTB 120
16842,F,1500,1550,MSTB 120
16843,F,1600,1650,MSTB 120
17340,Tu,1900,2150,MSTB 120
17350,Th,1900,2150,MSTB 120
16793,Th,800,1050,MSTB 224
16791,W,1100,1350,MSTB 224
16792,W,1400,1650,MSTB 224
16860,MWF,1400,1450,PCB 1100
16477,M,1900,2050,PCB 1200
16425,Tu,800,950,PCB 1300
16473,Th,800,850,PCB 1300
16855,MW,800,920,PCB 1300
16856,F,800,850,PCB 1300
16426,Tu,1000,1150,PCB 1300
17147,F,1000,1050,PCB 1300
16493,F,1100,1150,PCB 1300
16472,Tu,1200,1250,PCB 1300
16651,W,1500,1550,PCB 1300
16406,W,1900,1950,PCB 1300
16407,Th,1900,1950,PCB 1300
17087,M,1900,1950,PCB 1300
16410,W,2000,2150,PCB 1300
16411,Th,2000,2150,PCB 1300
17883,TuTh,1530,1650,PSCB 140
17874,M,1100,1350,PSCB 230
16470,MWF,1000,1050,RH 101
16420,MWF,1100,1150,RH 101
16435,MWF,1200,1250,RH 101
16490,TuTh,1230,1350,RH 101
17085,MWF,1300,1350,RH 101
17060,MWF,1400,1450,RH 101
16840,TuTh,1900,2020,RH 101
16806,W,1700,1750,RH 184
16807,W,1800,1850,RH 184
16871,Tu,1700,1750,SH 134
16872,Tu,1800,1850,SH 134
16873,W,1100,1150,SH 174
16874,W,1200,1250,SH 174
17145,TuTh,1230,1350,SSL 228
16650,TuTh,1700,1820,SSL 270
16790,F,1700,1750,SSPA 1100
16492,F,1500,1550,SSTR 101
16491,Th,1600,1650,SSTR 101
16652,W,1600,1650,SSTR 101
