Code,Days,Start_Time,End_Time,Location
16425,Tu,08:00,09:50,PCB 1300
16473,Th,08:00,08:50,PCB 1300
16855,MW,08:00,09:20,PCB 1300
16856,F,08:00,08:50,PCB 1300
16793,Th,08:00,10:50,MSTB 224
16781,Tu,08:00,08:50,MSTB 120
16886,W,08:00,08:50,MSTB 120
17346,F,08:00,08:50,MSTB 120
16663,W,08:00,10:50,ET 202
16423,M,08:00,08:50,ELH 110
16451,W,08:00,08:50,ELH 110
17445,F,09:00,10:20,MDE AUD
16421,M,09:00,09:50,ELH 110
16653,W,09:00,09:50,ELH 110
16780,MWF,09:00,09:50,ELH 100
17345,TuTh,09:30,10:50,MSTB 118
16405,TuTh,09:30,10:50,MDE AUD
17097,Tu,09:30,12:20,ET 203
17395,MW,09:30,10:50,DBH 1431
16470,MWF,10:00,10:50,RH 101
16426,Tu,10:00,11:50,PCB 1300
17147,F,10:00,10:50,PCB 1300
16841,F,10:00,10:50,MSTB 120
17095,M,10:00,12:50,ET 203
16422,M,10:00,10:50,ELH 110
17061,W,10:00,10:50,ELH 110
16873,W,11:00,11:50,SH 174
16420,MWF,11:00,11:50,RH 101
17874,M,11:00,13:50,PSCB 230
16493,F,11:00,11:50,PCB 1300
16791,W,11:00,13:50,MSTB 224
16885,TuTh,11:00,12:20,MDE AUD
16450,TuTh,11:00,12:20,HH 178
16661,Tu,11:00,13:50,ET 202
17380,MW,11:00,12:20,ELH 110
16794,Th,11:00,13:50,ECT 123
17360,TuTh,11:00,12:20,DBH 1200
16874,W,12:00,12:50,SH 174
16435,MWF,12:00,12:50,RH 101
16472,Tu,12:00,12:50,PCB 1300
16887,W,12:00,12:50,MSTB 120
17146,M,12:00,12:50,MSTB 120
17145,TuTh,12:30,13:50,SSL 228
16490,TuTh,12:30,13:50,RH 101
17370,TuTh,12:30,13:50,ELH 110
17375,MW,12:30,13:50,DBH 1422
17888,TuTh,12:30,13:50,BS3 2120
17085,MWF,13:00,13:50,RH 101
16452,W,13:00,13:50,ELH 110
16471,M,13:00,13:50,ELH 110
17371,F,13:00,13:50,ELH 110
17060,MWF,14:00,14:50,RH 101
16860,MWF,14:00,14:50,PCB 1100
16792,W,14:00,16:50,MSTB 224
16783,W,14:00,14:50,MSTB 120
17780,TuTh,14:00,15:20,MSTB 120
16400,Tu,14:00,14:50,MDE AUD
16660,M,14:00,16:50,ET 202
16453,Th,14:00,14:50,ELH 110
16782,Tu,14:00,14:50,ELH 110
16870,TuTh,14:00,15:20,EH 1200
17390,TuTh,14:00,15:20,DBH 1422
16492,F,15:00,15:50,SSTR 101
16651,W,15:00,15:50,PCB 1300
16842,F,15:00,15:50,MSTB 120
16476,M,15:00,16:50,ELH 110
17062,F,15:00,15:50,ELH 110
17883,TuTh,15:30,16:50,PSCB 140
16805,TuTh,15:30,16:50,EH 1200
17365,TuTh,15:30,16:50,DBH 1600
17385,MW,15:30,16:50,DBH 1200
16491,Th,16:00,16:50,SSTR 101
16652,W,16:00,16:50,SSTR 101
16843,F,16:00,16:50,MSTB 120
17063,F,16:00,16:50,ELH 110
17897,MW,16:00,17:20,DBH 1425
16790,F,17:00,17:50,SSPA 1100
16650,TuTh,17:00,18:20,SSL 270
16871,Tu,17:00,17:50,SH 134
16806,W,17:00,17:50,RH 184
17088,M,17:00,17:50,ELH 110
16815,TuTh,17:00,18:20,EH 1200
16900,M,17:00,17:50,EH 1200
16901,W,17:00,17:50,EH 1200
17400,W,17:00,19:50,DBH 1422
17405,M,17:00,19:50,DBH 1422
17781,TuTh,17:00,18:20,DBH 1422
16872,Tu,18:00,18:50,SH 134
16807,W,18:00,18:50,RH 184
16427,Tu,18:00,19:50,ELH 110
17086,M,18:00,18:50,ELH 110
16840,TuTh,19:00,20:20,RH 101
16406,W,19:00,19:50,PCB 1300
16407,Th,19:00,19:50,PCB 1300
17087,M,19:00,19:50,PCB 1300
16477,M,19:00,20:50,PCB 1200
17340,Tu,19:00,21:50,MSTB 120
17350,Th,19:00,21:50,MSTB 120
17096,M,19:00,21:50,ET 203
17098,Tu,19:00,21:50,ET 203
17099,W,19:00,21:50,ET 203
17100,Th,19:00,21:50,ET 203
16662,Tu,19:00,21:50,ET 202
16664,Th,19:00,21:50,ET 202
16436,M,19:00,19:50,ELH 110
16818,W,19:00,19:50,DBH 1300
16410,W,20:00,21:50,PCB 1300
16411,Th,20:00,21:50,PCB 1300
16437,M,20:00,20:50,ELH 110
16441,Tu,20:00,21:50,ELH 110
16442,W,20:00,21:50,ELH 110
16443,Th,20:00,21:50,ELH 110
16809,Th,20:00,20:50,DBH 1300
16819,W,20:00,20:50,DBH 1300
16438,M,21:00,21:50,ELH 110
